iter	Passed	Remaining
405	7586	29784
406	7603	29762
407	7619	29731
408	7635	29702
409	7653	29680
410	7675	29673
411	7691	29647
412	7708	29621
413	7727	29601
414	7742	29570
415	7761	29551
416	7778	29526
417	7796	29507
418	7812	29478
419	7828	29451
420	7844	29422
421	7859	29391
422	7878	29370
423	7894	29344
424	7913	29325
425	7934	29314
426	7954	29302
427	7974	29289
428	7997	29287
429	8015	29264
430	8030	29234
431	8051	29222
432	8066	29191
433	8081	29159
434	8102	29151
435	8115	29112
436	8130	29079
437	8147	29054
438	8162	29025
439	8181	29006
440	8196	28976
441	8211	28943
442	8229	28923
443	8249	28909
444	8264	28879
445	8284	28864
446	8303	28849
447	8321	28827
448	8339	28805
449	8354	28777
450	8371	28751
451	8387	28723
452	8406	28707
453	8422	28681
454	8440	28660
455	8457	28637
456	8476	28619
457	8493	28594
458	8508	28564
459	8523	28535
460	8541	28515
461	8559	28494
462	8572	28457
463	8589	28435
464	8607	28413
465	8625	28395
466	8642	28370
467	8657	28340
468	8674	28316
469	8690	28289
470	8708	28269
471	8726	28250
472	8741	28221
473	8759	28199
474	8777	28179
475	8795	28159
476	8813	28139
477	8834	28129
478	8851	28105
479	8870	28090
480	8892	28081
481	8909	28060
482	8933	28056
483	8960	28067
484	8986	28069
485	9005	28053
486	9021	28028
487	9036	27999
488	9052	27972
489	9066	27938
490	9080	27906
491	9098	27887
492	9115	27863
493	9131	27836
494	9148	27814
495	9165	27793
496	9183	27773
497	9203	27758
498	9219	27733
499	9235	27705
500	9252	27683
501	9267	27653
502	9283	27629
503	9303	27616
504	9319	27590
505	9333	27557
506	9349	27531
507	9366	27508
508	9383	27488
509	9404	27475
510	9421	27452
511	9441	27440
512	9459	27418
513	9476	27397
514	9491	27368
515	9508	27345
516	9522	27315
517	9539	27292
518	9557	27273
519	9576	27256
520	9595	27238
521	9612	27217
522	9628	27191
523	9644	27167
524	9659	27139
525	9677	27118
526	9692	27090
527	9706	27061
528	9725	27044
529	9742	27020
530	9759	27000
531	9779	26984
532	9795	26961
533	9812	26938
534	9828	26913
535	9844	26888
536	9864	26873
537	9879	26848
538	9898	26829
539	9915	26807
540	9934	26791
541	9950	26766
542	9966	26741
543	9980	26711
544	9996	26686
545	10012	26662
546	10029	26642
547	10044	26615
548	10059	26588
549	10074	26558
550	10090	26536
551	10107	26514
552	10126	26497
553	10141	26471
554	10158	26448
555	10173	26421
556	10188	26395
557	10205	26374
558	10224	26356
559	10240	26331
560	10255	26305
561	10272	26284
562	10291	26266
563	10308	26245
564	10323	26219
565	10341	26201
566	10358	26178
567	10374	26156
568	10390	26131
569	10409	26115
570	10425	26091
571	10446	26078
572	10467	26068
573	10492	26065
574	10514	26056
575	10535	26045
576	10561	26046
577	10583	26036
578	10607	26033
579	10629	26025
580	10654	26022
581	10674	26007
582	10693	25990
583	10710	25968
584	10725	25942
585	10741	25919
586	10757	25895
587	10774	25873
588	10790	25849
589	10807	25827
590	10825	25808
591	10843	25788
592	10860	25768
593	10876	25745
594	10894	25724
595	10909	25699
596	10925	25676
597	10942	25654
598	10958	25631
599	10975	25609
600	10994	25591
601	11012	25573
602	11030	25555
603	11049	25537
604	11064	25512
605	11083	25495
606	11099	25472
607	11119	25458
608	11135	25434
609	11153	25414
610	11168	25389
611	11183	25364
612	11200	25342
613	11217	25320
614	11231	25293
615	11250	25277
616	11266	25254
617	11282	25230
618	11301	25213
619	11316	25187
620	11332	25164
621	11344	25132
622	11360	25110
623	11377	25088
624	11391	25060
625	11407	25037
626	11422	25012
627	11436	24986
628	11450	24958
629	11466	24934
630	11480	24908
631	11495	24883
632	11511	24860
633	11531	24844
634	11548	24823
635	11566	24806
636	11580	24778
637	11595	24754
638	11610	24730
639	11626	24706
640	11642	24682
641	11657	24659
642	11674	24637
643	11689	24612
644	11703	24586
645	11721	24568
646	11738	24547
647	11753	24522
648	11769	24500
649	11788	24483
650	11804	24460
651	11819	24435
652	11837	24418
653	11856	24401
654	11871	24376
655	11886	24352
656	11901	24328
657	11918	24308
658	11935	24287
659	11950	24262
660	11964	24235
661	11979	24211
662	11993	24186
663	12008	24160
664	12024	24139
665	12037	24112
666	12053	24089
667	12067	24062
668	12081	24036
669	12094	24009
670	12112	23989
671	12129	23969
672	12144	23945
673	12159	23922
674	12175	23900
675	12193	23881
676	12212	23865
677	12229	23845
678	12248	23828
679	12263	23805
680	12277	23778
681	12290	23752
682	12310	23737
683	12329	23720
684	12345	23698
685	12359	23674
686	12377	23655
687	12394	23636
688	12415	23623
689	12431	23601
690	12447	23580
691	12466	23564
692	12482	23542
693	12499	23522
694	12514	23499
695	12529	23475
696	12545	23452
697	12561	23430
698	12577	23408
699	12595	23391
700	12612	23371
701	12628	23349
702	12643	23326
703	12660	23306
704	12675	23283
705	12690	23260
706	12707	23240
707	12723	23219
708	12742	23201
709	12759	23183
710	12776	23162
711	12789	23136
712	12806	23115
713	12822	23094
714	12836	23070
715	12850	23045
716	12868	23026
717	12880	22998
718	12896	22976
719	12911	22954
720	12928	22934
721	12945	22914
722	12966	22901
723	12983	22881
724	13000	22862
725	13015	22839
726	13031	22818
727	13048	22798
728	13063	22776
729	13085	22765
730	13103	22746
731	13119	22726
732	13135	22704
733	13150	22681
734	13168	22664
735	13184	22643
736	13201	22624
737	13217	22602
738	13233	22581
739	13249	22560
740	13265	22539
741	13283	22521
742	13297	22496
743	13312	22474
744	13326	22450
745	13341	22426
746	13358	22407
747	13374	22386
748	13391	22367
749	13408	22348
750	13426	22329
751	13440	22305
752	13456	22285
753	13474	22267
754	13492	22248
755	13508	22228
756	13524	22207
757	13541	22187
758	13564	22179
759	13584	22163
760	13600	22143
761	13619	22127
762	13638	22110
763	13660	22099
764	13684	22092
765	13705	22078
766	13721	22058
767	13738	22038
768	13755	22019
769	13775	22004
770	13795	21989
771	13811	21969
772	13826	21947
773	13842	21925
774	13860	21908
775	13876	21887
776	13890	21863
777	13904	21839
778	13920	21818
779	13936	21797
780	13950	21774
781	13964	21749
782	13981	21730
783	13995	21707
784	14009	21684
785	14023	21659
786	14039	21639
787	14057	21620
788	14074	21602
789	14090	21580
790	14106	21561
791	14121	21539
792	14136	21517
793	14152	21496
794	14168	21476
795	14205	21486
796	14229	21477
797	14261	21482
798	14282	21467
799	14299	21448
800	14318	21432
801	14337	21417
802	14361	21408
803	14385	21399
804	14404	21383
805	14420	21361
806	14437	21342
807	14454	21323
808	14472	21306
809	14491	21289
810	14507	21268
811	14523	21248
812	14540	21228
813	14553	21204
814	14568	21181
815	14584	21161
816	14599	21139
817	14616	21121
818	14632	21099
819	14650	21081
820	14666	21061
821	14680	21037
822	14695	21015
823	14710	20995
824	14725	20972
825	14740	20950
826	14761	20936
827	14777	20917
828	14793	20896
829	14808	20875
830	14824	20854
831	14839	20832
832	14857	20814
833	14872	20792
834	14886	20769
835	14904	20751
836	14918	20729
837	14934	20708
838	14950	20688
839	14964	20665
840	14983	20648
841	14996	20624
842	15016	20609
843	15034	20592
844	15050	20571
845	15064	20548
846	15078	20525
847	15093	20504
848	15110	20485
849	15126	20465
850	15141	20443
851	15155	20420
852	15170	20399
853	15185	20377
854	15199	20355
855	15217	20337
856	15231	20314
857	15247	20293
858	15261	20271
859	15276	20249
860	15292	20230
861	15309	20211
862	15326	20192
863	15340	20170
864	15355	20148
865	15372	20129
866	15389	20110
867	15409	20096
868	15424	20075
869	15441	20056
870	15459	20039
871	15481	20026
872	15496	20005
873	15517	19992
874	15535	19974
875	15556	19960
876	15570	19938
877	15589	19921
878	15606	19903
879	15623	19884
880	15639	19864
881	15658	19847
882	15676	19830
883	15694	19813
884	15712	19796
885	15732	19780
886	15749	19762
887	15768	19745
888	15783	19725
889	15802	19708
890	15817	19687
891	15832	19666
892	15847	19645
893	15866	19629
894	15882	19609
895	15899	19589
896	15916	19572
897	15938	19559
898	15958	19544
899	15976	19526
900	15993	19508
901	16013	19492
902	16029	19472
903	16044	19452
904	16064	19436
905	16078	19414
906	16099	19401
907	16114	19380
908	16132	19362
909	16147	19341
910	16165	19323
911	16184	19307
912	16200	19288
913	16216	19267
914	16231	19247
915	16247	19227
916	16262	19206
917	16280	19188
918	16295	19167
919	16314	19152
920	16336	19139
921	16354	19121
922	16375	19107
923	16391	19087
924	16408	19069
925	16427	19052
926	16443	19033
927	16460	19015
928	16480	18999
929	16501	18985
930	16516	18964
931	16535	18948
932	16556	18934
933	16581	18924
934	16598	18906
935	16619	18892
936	16638	18876
937	16657	18859
938	16673	18839
939	16691	18822
940	16711	18806
941	16729	18789
942	16748	18773
943	16766	18755
944	16784	18737
945	16806	18724
946	16822	18706
947	16844	18692
948	16860	18673
949	16881	18658
950	16901	18643
951	16916	18622
952	16935	18606
953	16952	18587
954	16970	18569
955	16985	18549
956	17000	18528
957	17016	18508
958	17031	18488
959	17046	18467
960	17063	18448
961	17078	18428
962	17096	18410
963	17114	18392
964	17130	18373
965	17147	18354
966	17164	18336
967	17183	18319
968	17199	18300
969	17214	18278
970	17230	18259
971	17248	18242
972	17265	18223
973	17284	18207
974	17299	18186
975	17314	18166
976	17332	18148
977	17352	18132
978	17369	18114
979	17390	18100
980	17406	18080
981	17423	18061
982	17442	18045
983	17456	18024
984	17474	18006
985	17492	17989
986	17507	17968
987	17523	17948
988	17542	17933
989	17558	17913
990	17577	17896
991	17592	17876
992	17608	17856
993	17624	17837
994	17639	17816
995	17655	17797
996	17669	17775
997	17685	17756
998	17700	17736
999	17717	17717
1000	17734	17698
1001	17750	17679
1002	17766	17660
1003	17781	17639
1004	17796	17619
1005	17813	17601
1006	17828	17580
1007	17844	17561
1008	17860	17542
1009	17875	17521
1010	17890	17501
1011	17913	17488
1012	17938	17478
1013	17958	17462
1014	17974	17443
1015	17988	17422
1016	18004	17402
1017	18021	17384
1018	18040	17367
1019	18056	17348
1020	18070	17327
1021	18089	17310
1022	18105	17291
1023	18121	17272
1024	18138	17254
1025	18156	17236
1026	18170	17215
1027	18186	17195
1028	18202	17176
1029	18215	17154
1030	18234	17137
1031	18249	17117
1032	18263	17096
1033	18280	17078
1034	18295	17058
1035	18311	17038
1036	18328	17020
1037	18344	17001
1038	18360	16982
1039	18374	16961
1040	18388	16939
1041	18403	16920
1042	18418	16900
1043	18438	16884
1044	18455	16865
1045	18472	16847
1046	18491	16831
1047	18507	16812
1048	18523	16792
1049	18542	16776
1050	18563	16761
1051	18581	16744
1052	18598	16726
1053	18618	16710
1054	18633	16690
1055	18649	16671
1056	18666	16653
1057	18683	16634
1058	18697	16614
1059	18712	16594
1060	18726	16573
1061	18745	16556
1062	18763	16539
1063	18778	16519
1064	18793	16499
1065	18807	16478
1066	18824	16460
1067	18843	16443
1068	18858	16424
1069	18876	16406
1070	18893	16388
1071	18908	16368
1072	18926	16351
1073	18942	16332
1074	18958	16313
1075	18972	16291
1076	18988	16273
1077	19004	16254
1078	19019	16234
1079	19034	16214
1080	19049	16194
1081	19067	16177
1082	19084	16158
1083	19100	16140
1084	19114	16119
1085	19130	16100
1086	19145	16080
1087	19161	16062
1088	19176	16042
1089	19191	16022
1090	19212	16007
1091	19233	15992
1092	19249	15973
1093	19265	15955
1094	19284	15938
1095	19298	15918
1096	19313	15897
1097	19328	15878
1098	19348	15862
1099	19364	15843
1100	19383	15827
1101	19400	15808
1102	19419	15792
1103	19437	15775
1104	19455	15757
1105	19472	15739
1106	19492	15724
1107	19510	15706
1108	19528	15689
1109	19542	15669
1110	19558	15650
1111	19573	15630
1112	19590	15612
1113	19607	15594
1114	19626	15577
1115	19643	15559
1116	19658	15540
1117	19671	15518
1118	19685	15498
1119	19701	15479
1120	19717	15460
1121	19735	15443
1122	19751	15425
1123	19767	15406
1124	19784	15388
1125	19799	15368
1126	19816	15350
1127	19833	15332
1128	19847	15312
1129	19864	15293
1130	19881	15276
1131	19897	15257
1132	19914	15238
1133	19933	15222
1134	19948	15203
1135	19963	15183
1136	19981	15166
1137	19997	15147
1138	20012	15127
1139	20026	15107
1140	20043	15089
1141	20061	15072
1142	20077	15053
1143	20092	15034
1144	20109	15016
1145	20124	14997
1146	20139	14977
1147	20157	14960
1148	20174	14941
1149	20191	14923
1150	20206	14904
1151	20222	14886
1152	20240	14868
1153	20257	14850
1154	20274	14833
1155	20291	14814
1156	20306	14795
1157	20322	14776
1158	20337	14757
1159	20355	14740
1160	20372	14722
1161	20387	14702
1162	20401	14682
1163	20416	14663
1164	20434	14645
1165	20453	14629
1166	20476	14615
1167	20494	14598
1168	20512	14581
1169	20529	14563
1170	20546	14545
1171	20568	14531
1172	20585	14513
1173	20599	14493
1174	20615	14474
1175	20630	14455
1176	20648	14437
1177	20665	14420
1178	20685	14404
1179	20701	14385
1180	20715	14366
1181	20732	14348
1182	20750	14330
1183	20766	14311
1184	20781	14292
1185	20797	14274
1186	20813	14255
1187	20828	14236
1188	20842	14216
1189	20859	14198
1190	20874	14178
1191	20894	14163
1192	20911	14145
1193	20925	14125
1194	20943	14108
1195	20964	14093
1196	20983	14076
1197	21000	14058
1198	21015	14039
1199	21031	14021
1200	21046	14002
1201	21059	13981
1202	21074	13962
1203	21090	13943
1204	21104	13923
1205	21122	13906
1206	21140	13889
1207	21156	13870
1208	21170	13850
1209	21184	13831
1210	21201	13813
1211	21216	13794
1212	21230	13774
1213	21247	13756
1214	21264	13738
1215	21284	13722
1216	21300	13704
1217	21315	13685
1218	21330	13665
1219	21345	13647
1220	21362	13629
1221	21376	13609
1222	21393	13592
1223	21411	13574
1224	21429	13557
1225	21445	13538
1226	21461	13520
1227	21476	13501
1228	21490	13481
1229	21507	13463
1230	21522	13445
1231	21538	13426
1232	21558	13410
1233	21573	13391
1234	21592	13375
1235	21610	13358
1236	21626	13339
1237	21643	13321
1238	21657	13301
1239	21674	13284
1240	21692	13267
1241	21711	13250
1242	21729	13233
1243	21744	13214
1244	21759	13195
1245	21776	13177
1246	21795	13161
1247	21814	13144
1248	21831	13127
1249	21848	13109
1250	21861	13089
1251	21876	13070
1252	21895	13053
1253	21913	13036
1254	21935	13021
1255	21952	13003
1256	21969	12985
1257	21987	12968
1258	22006	12952
1259	22024	12935
1260	22042	12917
1261	22057	12899
1262	22074	12881
1263	22097	12866
1264	22120	12852
1265	22135	12833
1266	22152	12816
1267	22167	12796
1268	22184	12779
1269	22198	12759
1270	22212	12740
1271	22230	12723
1272	22244	12703
1273	22259	12684
1274	22278	12668
1275	22292	12648
1276	22306	12629
1277	22322	12610
1278	22338	12592
1279	22357	12576
1280	22373	12558
1281	22395	12542
1282	22426	12533
1283	22445	12516
1284	22461	12497
1285	22476	12479
1286	22494	12462
1287	22510	12443
1288	22528	12426
1289	22547	12410
1290	22567	12393
1291	22583	12375
1292	22598	12356
1293	22614	12338
1294	22631	12320
1295	22647	12302
1296	22663	12284
1297	22679	12265
1298	22697	12248
1299	22715	12231
1300	22737	12216
1301	22756	12199
1302	22772	12181
1303	22791	12164
1304	22807	12146
1305	22823	12128
1306	22839	12110
1307	22858	12093
1308	22879	12077
1309	22896	12060
1310	22916	12043
1311	22932	12025
1312	22947	12006
1313	22965	11989
1314	22983	11972
1315	23000	11954
1316	23016	11936
1317	23034	11918
1318	23056	11903
1319	23076	11887
1320	23098	11872
1321	23118	11856
1322	23135	11838
1323	23152	11821
1324	23170	11804
1325	23193	11789
1326	23209	11770
1327	23224	11752
1328	23242	11734
1329	23262	11718
1330	23278	11700
1331	23293	11681
1332	23310	11664
1333	23327	11646
1334	23342	11627
1335	23361	11610
1336	23378	11593
1337	23399	11577
1338	23418	11560
1339	23437	11543
1340	23456	11527
1341	23475	11510
1342	23492	11492
1343	23511	11475
1344	23532	11459
1345	23555	11445
1346	23573	11428
1347	23590	11410
1348	23608	11392
1349	23626	11375
1350	23643	11358
1351	23659	11339
1352	23677	11322
1353	23698	11306
1354	23714	11288
1355	23731	11270
1356	23748	11252
1357	23764	11234
1358	23780	11216
1359	23798	11199
1360	23815	11181
1361	23830	11163
1362	23847	11145
1363	23865	11127
1364	23885	11111
1365	23902	11093
1366	23918	11075
1367	23932	11056
1368	23951	11039
1369	23967	11021
1370	23986	11004
1371	24006	10988
1372	24023	10970
1373	24038	10952
1374	24055	10934
1375	24072	10916
1376	24090	10899
1377	24108	10881
1378	24128	10865
1379	24144	10847
1380	24160	10829
1381	24175	10810
1382	24193	10793
1383	24208	10774
1384	24224	10756
1385	24242	10739
1386	24260	10722
1387	24275	10703
1388	24291	10685
1389	24308	10667
1390	24327	10650
1391	24341	10631
1392	24356	10613
1393	24371	10594
1394	24386	10576
1395	24402	10557
1396	24418	10539
1397	24437	10523
1398	24454	10505
1399	24471	10487
1400	24490	10470
1401	24506	10452
1402	24522	10434
1403	24536	10415
1404	24551	10397
1405	24563	10377
1406	24583	10361
1407	24597	10341
1408	24611	10323
1409	24624	10303
1410	24638	10285
1411	24653	10266
1412	24672	10249
1413	24688	10231
1414	24708	10215
1415	24723	10196
1416	24740	10178
1417	24752	10159
1418	24767	10140
1419	24782	10122
1420	24797	10103
1421	24816	10086
1422	24832	10069
1423	24847	10050
1424	24863	10032
1425	24880	10015
1426	24900	9998
1427	24915	9980
1428	24932	9962
1429	24949	9944
1430	24968	9927
1431	24983	9909
1432	24999	9891
1433	25014	9873
1434	25029	9854
1435	25045	9837
1436	25060	9818
1437	25078	9801
1438	25096	9783
1439	25112	9765
1440	25129	9748
1441	25142	9729
1442	25157	9710
1443	25173	9692
1444	25189	9674
1445	25199	9654
1446	25217	9637
1447	25235	9619
1448	25251	9602
1449	25268	9584
1450	25286	9567
1451	25301	9548
1452	25316	9530
1453	25332	9512
1454	25346	9494
1455	25361	9475
1456	25378	9458
1457	25398	9441
1458	25413	9423
1459	25430	9405
1460	25446	9387
1461	25462	9369
1462	25478	9352
1463	25492	9333
1464	25508	9315
1465	25527	9298
1466	25540	9279
1467	25558	9262
1468	25576	9245
1469	25592	9227
1470	25610	9210
1471	25626	9192
1472	25642	9174
1473	25655	9155
1474	25671	9137
1475	25687	9119
1476	25702	9101
1477	25718	9083
1478	25734	9065
1479	25748	9046
1480	25767	9029
1481	25783	9012
1482	25801	8994
1483	25816	8976
1484	25832	8958
1485	25847	8940
1486	25865	8923
1487	25882	8905
1488	25900	8888
1489	25912	8869
1490	25925	8850
1491	25941	8832
1492	25956	8814
1493	25971	8796
1494	25987	8778
1495	26001	8759
1496	26018	8742
1497	26037	8725
1498	26052	8707
1499	26067	8689
1500	26084	8671
1501	26100	8653
1502	26116	8635
1503	26130	8617
1504	26145	8599
1505	26161	8581
1506	26176	8563
1507	26190	8545
1508	26207	8527
1509	26221	8509
1510	26236	8490
1511	26253	8473
1512	26268	8455
1513	26284	8437
1514	26303	8420
1515	26322	8403
1516	26341	8386
1517	26357	8369
1518	26377	8352
1519	26399	8336
1520	26416	8319
1521	26437	8302
1522	26454	8285
1523	26471	8268
1524	26486	8250
1525	26504	8232
1526	26519	8214
1527	26532	8195
1528	26545	8177
1529	26559	8158
1530	26571	8139
1531	26587	8122
1532	26601	8103
1533	26615	8085
1534	26633	8068
1535	26649	8050
1536	26663	8032
1537	26678	8013
1538	26695	7996
1539	26710	7978
1540	26723	7959
1541	26738	7941
1542	26754	7924
1543	26770	7906
1544	26785	7888
1545	26802	7870
1546	26822	7854
1547	26839	7836
1548	26857	7819
1549	26871	7801
1550	26888	7783
1551	26906	7766
1552	26924	7749
1553	26940	7732
1554	26957	7714
1555	26970	7695
1556	26987	7678
1557	26998	7659
1558	27014	7641
1559	27030	7624
1560	27044	7605
1561	27061	7588
1562	27076	7570
1563	27091	7552
1564	27107	7534
1565	27123	7517
1566	27138	7499
1567	27154	7481
1568	27169	7463
1569	27186	7445
1570	27203	7428
1571	27218	7410
1572	27234	7392
1573	27250	7375
1574	27269	7358
1575	27287	7341
1576	27302	7323
1577	27317	7305
1578	27332	7287
1579	27347	7269
1580	27364	7252
1581	27378	7234
1582	27393	7216
1583	27409	7198
1584	27424	7180
1585	27437	7162
1586	27452	7144
1587	27471	7127
1588	27484	7108
1589	27500	7091
1590	27517	7073
1591	27535	7056
1592	27550	7038
1593	27567	7021
1594	27583	7004
1595	27597	6985
1596	27614	6968
1597	27630	6950
1598	27646	6933
1599	27662	6915
1600	27677	6897
1601	27692	6879
1602	27706	6861
1603	27721	6844
1604	27736	6826
1605	27751	6808
1606	27768	6790
1607	27783	6773
1608	27799	6755
1609	27815	6738
1610	27832	6720
1611	27848	6702
1612	27862	6684
1613	27879	6667
1614	27895	6649
1615	27910	6632
1616	27928	6615
1617	27945	6597
1618	27960	6579
1619	27973	6561
1620	27985	6543
1621	27999	6525
1622	28014	6507
1623	28031	6490
1624	28047	6472
1625	28064	6455
1626	28078	6437
1627	28096	6420
1628	28113	6402
1629	28127	6384
1630	28142	6367
1631	28159	6349
1632	28178	6332
1633	28196	6315
1634	28211	6297
1635	28225	6280
1636	28240	6262
1637	28256	6244
1638	28270	6226
1639	28288	6209
1640	28303	6191
1641	28324	6175
1642	28338	6157
1643	28355	6140
1644	28371	6122
1645	28389	6105
1646	28406	6088
1647	28420	6070
1648	28437	6053
1649	28452	6035
1650	28470	6018
1651	28488	6001
1652	28502	5983
1653	28521	5966
1654	28537	5948
1655	28553	5931
1656	28569	5913
1657	28586	5896
1658	28601	5878
1659	28617	5861
1660	28634	5844
1661	28649	5826
1662	28664	5808
1663	28681	5791
1664	28699	5774
1665	28717	5757
1666	28735	5740
1667	28755	5723
1668	28774	5706
